,boxoffice,film
0,"$27,850,910",Moonlight
1,"$151,058,124",La La Land
2,"$129,483,877",Mad Max: Fury Road
3,N/A,The Revenant
4,N/A,Birdman
5,"$56,939,515",The Grand Budapest Hotel
6,N/A,Whiplash
7,"$50,628,650",12 Years a Slave
8,"$274,084,951",Gravity
9,"$23,750,994",Dallas Buyers Club
